Task #103682604: depth 5, type 5, seed 103682604, output 3252054845 (1 descendants)
Task #1038012492: depth 3, type 4, seed 1038012492, output 1681078114 (1 descendants)
Task #1107358035: depth 1, type 4, seed 1107358035, output 875771191 (1 descendants)
Task #1316508837: depth 7, type 2, seed 1316508837, output 2277631066 (1 descendants)
Task #1317385057: depth 6, type 1, seed 1317385057, output 803889 (1 descendants)
Task #144152703: depth 6, type 4, seed 144152703, output 1631073588 (1 descendants)
Task #1496430509: depth 4, type 2, seed 1496430509, output 2152726555 (1 descendants)
Task #154496361: depth 4, type 5, seed 154496361, output 81253330 (1 descendants)
Task #1702577574: depth 6, type 1, seed 1702577574, output 1034179 (1 descendants)
Task #1844812041: depth 2, type 2, seed 1844812041, output 1438999294 (1 descendants)
Task #1862320289: depth 8, type 3, seed 1862320289, output 12419 (0 descendants)
Task #2096256649: depth 8, type 5, seed 2096256649, output 2640062501 (0 descendants)
Task #2318870130: depth 5, type 2, seed 2318870130, output 2288216558 (1 descendants)
Task #2329089169: depth 5, type 1, seed 2329089169, output 344410 (1 descendants)
Task #2347941549: depth 2, type 4, seed 2347941549, output 1667327078 (1 descendants)
Task #2473986537: depth 4, type 2, seed 2473986537, output 3862355052 (1 descendants)
Task #2488162715: depth 7, type 3, seed 2488162715, output 15113 (1 descendants)
Task #2567793885: depth 4, type 3, seed 2567793885, output 12309 (1 descendants)
Task #2580426484: depth 7, type 1, seed 2580426484, output 949845 (1 descendants)
Task #2592629189: depth 6, type 4, seed 2592629189, output 808529972 (1 descendants)
Task #2782173: depth 2, type 5, seed 2782173, output 4064811681 (1 descendants)
Task #2917465325: depth 6, type 3, seed 2917465325, output 20756 (1 descendants)
Task #2992501136: depth 3, type 4, seed 2992501136, output 1630692915 (1 descendants)
Task #3046746083: depth 1, type 4, seed 3046746083, output 909457249 (1 descendants)
Task #3211: depth 0, type 1, seed 3211, output 1018250 (1 descendants)
Task #3327193492: depth 5, type 5, seed 3327193492, output 732020925 (1 descendants)
Task #3401652307: depth 3, type 1, seed 3401652307, output 550187 (1 descendants)
Task #3502300879: depth 7, type 5, seed 3502300879, output 903904946 (1 descendants)
Task #3524642335: depth 8, type 3, seed 3524642335, output 13704 (0 descendants)
Task #3532916687: depth 3, type 3, seed 3532916687, output 16461 (1 descendants)
Task #3605566389: depth 1, type 3, seed 3605566389, output 22962 (1 descendants)
Task #3823424436: depth 4, type 3, seed 3823424436, output 17301 (1 descendants)
Task #3859590328: depth 7, type 1, seed 3859590328, output 991916 (1 descendants)
Task #3946975129: depth 8, type 5, seed 3946975129, output 346763660 (0 descendants)
Task #4034526159: depth 2, type 3, seed 4034526159, output 18567 (1 descendants)
Task #4223: depth 0, type 2, seed 4223, output 1169977978 (1 descendants)
Task #4231: depth 0, type 3, seed 4231, output 21010 (1 descendants)
Task #5222: depth 0, type 4, seed 5222, output 1697866035 (1 descendants)
Task #5224: depth 0, type 5, seed 5224, output 1761916630 (1 descendants)
Task #69152281: depth 1, type 5, seed 69152281, output 1998495078 (1 descendants)
Task #721759727: depth 3, type 5, seed 721759727, output 4284894817 (1 descendants)
Task #722500612: depth 5, type 2, seed 722500612, output 2275783546 (1 descendants)
Task #733328025: depth 1, type 3, seed 733328025, output 15856 (1 descendants)
Task #854845663: depth 2, type 3, seed 854845663, output 19741 (1 descendants)
Task #928223063: depth 8, type 2, seed 928223063, output 3188167258 (0 descendants)
