Task #1009405059: depth 5, type 2, seed 1009405059, output 3101023037 (0 descendants)
Task #1021097778: depth 5, type 1, seed 1021097778, output 422728 (0 descendants)
Task #1025630448: depth 5, type 4, seed 1025630448, output 1650800434 (0 descendants)
Task #1025746619: depth 5, type 1, seed 1025746619, output 954001 (0 descendants)
Task #1027821705: depth 5, type 5, seed 1027821705, output 1747032169 (0 descendants)
Task #1027847360: depth 5, type 4, seed 1027847360, output 1681011553 (0 descendants)
Task #1028111110: depth 5, type 5, seed 1028111110, output 3786474525 (0 descendants)
Task #1032412374: depth 5, type 1, seed 1032412374, output 258913 (0 descendants)
Task #1036699562: depth 5, type 4, seed 1036699562, output 909129318 (0 descendants)
Task #1038744159: depth 5, type 5, seed 1038744159, output 2082203255 (0 descendants)
Task #1041931073: depth 5, type 4, seed 1041931073, output 845361712 (0 descendants)
Task #1047330355: depth 5, type 3, seed 1047330355, output 11566 (0 descendants)
Task #1050798621: depth 4, type 1, seed 1050798621, output 209944 (3 descendants)
Task #1055163915: depth 4, type 2, seed 1055163915, output 3564891487 (4 descendants)
Task #1062833606: depth 5, type 2, seed 1062833606, output 2903473497 (0 descendants)
Task #1064197481: depth 5, type 5, seed 1064197481, output 1165463451 (0 descendants)
Task #1067496304: depth 5, type 2, seed 1067496304, output 3194820103 (0 descendants)
Task #1068063294: depth 5, type 1, seed 1068063294, output 850187 (0 descendants)
Task #1079737455: depth 5, type 1, seed 1079737455, output 943344 (0 descendants)
Task #1081932054: depth 5, type 3, seed 1081932054, output 10658 (0 descendants)
Task #1087005083: depth 4, type 3, seed 1087005083, output 22042 (4 descendants)
Task #1088232160: depth 5, type 2, seed 1088232160, output 1778373221 (0 descendants)
Task #1088262966: depth 5, type 2, seed 1088262966, output 2887617061 (0 descendants)
Task #1091828207: depth 4, type 5, seed 1091828207, output 867675222 (5 descendants)
Task #1092280004: depth 5, type 2, seed 1092280004, output 4085748944 (0 descendants)
Task #10938191: depth 5, type 5, seed 10938191, output 1004241883 (0 descendants)
Task #1098917654: depth 4, type 1, seed 1098917654, output 179952 (4 descendants)
Task #1101500652: depth 5, type 3, seed 1101500652, output 17133 (0 descendants)
Task #1104695153: depth 5, type 4, seed 1104695153, output 845230181 (0 descendants)
Task #1119577946: depth 2, type 2, seed 1119577946, output 1523420392 (4 descendants)
Task #1120566619: depth 5, type 4, seed 1120566619, output 892756281 (0 descendants)
Task #1122422377: depth 5, type 4, seed 1122422377, output 828466738 (0 descendants)
Task #1138367244: depth 5, type 3, seed 1138367244, output 27032 (0 descendants)
Task #1140194034: depth 5, type 3, seed 1140194034, output 20734 (0 descendants)
Task #1143803518: depth 5, type 2, seed 1143803518, output 2664393625 (0 descendants)
Task #1145486323: depth 4, type 3, seed 1145486323, output 24557 (5 descendants)
Task #1145616364: depth 5, type 5, seed 1145616364, output 499686047 (0 descendants)
Task #1151339358: depth 3, type 1, seed 1151339358, output 779028 (4 descendants)
Task #1153239230: depth 5, type 2, seed 1153239230, output 1885953175 (0 descendants)
Task #1153377680: depth 4, type 5, seed 1153377680, output 2447861165 (3 descendants)
Task #1155156667: depth 3, type 3, seed 1155156667, output 17764 (4 descendants)
Task #1159361389: depth 4, type 2, seed 1159361389, output 682203944 (4 descendants)
Task #1162517262: depth 4, type 3, seed 1162517262, output 11584 (4 descendants)
Task #1162889775: depth 5, type 2, seed 1162889775, output 2774282582 (0 descendants)
Task #1167217326: depth 4, type 3, seed 1167217326, output 14630 (4 descendants)
Task #1170088857: depth 4, type 4, seed 1170088857, output 1717711929 (5 descendants)
Task #1174039601: depth 4, type 5, seed 1174039601, output 1954837599 (3 descendants)
Task #1176742463: depth 5, type 3, seed 1176742463, output 16822 (0 descendants)
Task #1181524789: depth 5, type 1, seed 1181524789, output 932204 (0 descendants)
Task #1181909352: depth 5, type 2, seed 1181909352, output 3003013887 (0 descendants)
Task #120177448: depth 5, type 5, seed 120177448, output 2794489462 (0 descendants)
Task #120561075: depth 4, type 4, seed 120561075, output 1633969204 (5 descendants)
Task #1215062054: depth 4, type 1, seed 1215062054, output 801669 (4 descendants)
Task #1215837538: depth 5, type 5, seed 1215837538, output 1204261943 (0 descendants)
Task #1220383779: depth 5, type 5, seed 1220383779, output 2939164364 (0 descendants)
Task #1223778407: depth 5, type 5, seed 1223778407, output 2779306543 (0 descendants)
Task #1226938794: depth 3, type 5, seed 1226938794, output 138466529 (5 descendants)
Task #1235929627: depth 5, type 2, seed 1235929627, output 3991434605 (0 descendants)
Task #123764874: depth 5, type 4, seed 123764874, output 1650734131 (0 descendants)
Task #1241928320: depth 5, type 1, seed 1241928320, output 156886 (0 descendants)
Task #1242603648: depth 5, type 1, seed 1242603648, output 761440 (0 descendants)
Task #1249499077: depth 5, type 3, seed 1249499077, output 15250 (0 descendants)
Task #1254224854: depth 5, type 2, seed 1254224854, output 4173234711 (0 descendants)
Task #1254912337: depth 5, type 1, seed 1254912337, output 536791 (0 descendants)
Task #1268200607: depth 5, type 4, seed 1268200607, output 1647863140 (0 descendants)
Task #1272824923: depth 4, type 4, seed 1272824923, output 1714762548 (4 descendants)
Task #1282656724: depth 5, type 4, seed 1282656724, output 1698050101 (0 descendants)
Task #1284693353: depth 5, type 3, seed 1284693353, output 22490 (0 descendants)
Task #1294117995: depth 5, type 3, seed 1294117995, output 14874 (0 descendants)
Task #1295010795: depth 5, type 4, seed 1295010795, output 1717844323 (0 descendants)
Task #1304370467: depth 4, type 5, seed 1304370467, output 2452845706 (5 descendants)
Task #1306117036: depth 5, type 2, seed 1306117036, output 3859315868 (0 descendants)
Task #1306213537: depth 5, type 1, seed 1306213537, output 97173 (0 descendants)
Task #1307433392: depth 5, type 5, seed 1307433392, output 3331136070 (0 descendants)
Task #1307725667: depth 5, type 4, seed 1307725667, output 808989491 (0 descendants)
Task #1309139269: depth 5, type 3, seed 1309139269, output 21097 (0 descendants)
Task #1310150770: depth 5, type 2, seed 1310150770, output 1347313780 (0 descendants)
Task #1317465758: depth 5, type 3, seed 1317465758, output 11718 (0 descendants)
Task #1317540986: depth 5, type 3, seed 1317540986, output 17498 (0 descendants)
Task #1319650386: depth 5, type 5, seed 1319650386, output 665624216 (0 descendants)
Task #1322860820: depth 5, type 3, seed 1322860820, output 24278 (0 descendants)
Task #1324887899: depth 3, type 2, seed 1324887899, output 701797808 (4 descendants)
Task #1327019527: depth 5, type 2, seed 1327019527, output 2301943179 (0 descendants)
Task #1335437288: depth 5, type 3, seed 1335437288, output 16885 (0 descendants)
Task #1336686193: depth 4, type 3, seed 1336686193, output 9520 (3 descendants)
Task #1338636637: depth 5, type 3, seed 1338636637, output 17380 (0 descendants)
Task #1340191859: depth 5, type 4, seed 1340191859, output 892416305 (0 descendants)
Task #1345003986: depth 4, type 4, seed 1345003986, output 1681012281 (4 descendants)
Task #1349634970: depth 4, type 4, seed 1349634970, output 909664610 (4 descendants)
Task #1351027331: depth 5, type 5, seed 1351027331, output 955787504 (0 descendants)
Task #1356159488: depth 5, type 2, seed 1356159488, output 2721083684 (0 descendants)
Task #1361686687: depth 4, type 1, seed 1361686687, output 1042392 (5 descendants)
Task #1362090531: depth 5, type 1, seed 1362090531, output 1070183 (0 descendants)
Task #1363416997: depth 4, type 5, seed 1363416997, output 4198741112 (5 descendants)
Task #1365470304: depth 5, type 3, seed 1365470304, output 17153 (0 descendants)
Task #1369280698: depth 2, type 5, seed 1369280698, output 1203452073 (5 descendants)
Task #136956173: depth 5, type 1, seed 136956173, output 115851 (0 descendants)
Task #1372350750: depth 5, type 4, seed 1372350750, output 946157413 (0 descendants)
Task #1376015433: depth 4, type 2, seed 1376015433, output 1981528226 (4 descendants)
Task #1378325255: depth 5, type 2, seed 1378325255, output 1141637546 (0 descendants)
Task #1381790986: depth 5, type 1, seed 1381790986, output 671197 (0 descendants)
Task #1386163024: depth 4, type 5, seed 1386163024, output 2395670049 (4 descendants)
Task #138758012: depth 5, type 3, seed 138758012, output 15836 (0 descendants)
Task #139058904: depth 5, type 4, seed 139058904, output 945961010 (0 descendants)
Task #1397601536: depth 4, type 5, seed 1397601536, output 2697547832 (3 descendants)
Task #1399458391: depth 5, type 3, seed 1399458391, output 12308 (0 descendants)
Task #1410085474: depth 5, type 4, seed 1410085474, output 892548914 (0 descendants)
Task #1416269944: depth 5, type 3, seed 1416269944, output 17328 (0 descendants)
Task #1416399731: depth 5, type 1, seed 1416399731, output 798525 (0 descendants)
Task #1421239330: depth 4, type 3, seed 1421239330, output 30123 (4 descendants)
Task #1422519629: depth 4, type 4, seed 1422519629, output 912417585 (4 descendants)
Task #1428958789: depth 3, type 2, seed 1428958789, output 1916413763 (4 descendants)
Task #1431453549: depth 4, type 1, seed 1431453549, output 643226 (4 descendants)
Task #1431596177: depth 5, type 5, seed 1431596177, output 2654401422 (0 descendants)
Task #1436739764: depth 5, type 5, seed 1436739764, output 2472193667 (0 descendants)
Task #1452327654: depth 5, type 1, seed 1452327654, output 953673 (0 descendants)
Task #1452801462: depth 5, type 1, seed 1452801462, output 671588 (0 descendants)
Task #1455626236: depth 5, type 4, seed 1455626236, output 1701130548 (0 descendants)
Task #1456500190: depth 3, type 4, seed 1456500190, output 809055585 (3 descendants)
Task #1457901627: depth 5, type 4, seed 1457901627, output 828453425 (0 descendants)
Task #1458030762: depth 5, type 5, seed 1458030762, output 3875443967 (0 descendants)
Task #1459935065: depth 5, type 1, seed 1459935065, output 624183 (0 descendants)
Task #1463365194: depth 5, type 1, seed 1463365194, output 194412 (0 descendants)
Task #147043701: depth 5, type 3, seed 147043701, output 14363 (0 descendants)
Task #1472762985: depth 5, type 5, seed 1472762985, output 2567513458 (0 descendants)
Task #1473509231: depth 5, type 4, seed 1473509231, output 962998836 (0 descendants)
Task #1474449974: depth 5, type 5, seed 1474449974, output 1590914180 (0 descendants)
Task #1483289736: depth 4, type 4, seed 1483289736, output 878982197 (3 descendants)
Task #1483710088: depth 4, type 3, seed 1483710088, output 23870 (5 descendants)
Task #1489440873: depth 4, type 2, seed 1489440873, output 3776998106 (5 descendants)
Task #1490973031: depth 4, type 2, seed 1490973031, output 746369557 (4 descendants)
Task #1492398123: depth 5, type 4, seed 1492398123, output 909324642 (0 descendants)
Task #1493318961: depth 5, type 3, seed 1493318961, output 19928 (0 descendants)
Task #1497345003: depth 5, type 3, seed 1497345003, output 18100 (0 descendants)
Task #1498850502: depth 4, type 1, seed 1498850502, output 293328 (4 descendants)
Task #1503733364: depth 4, type 1, seed 1503733364, output 491965 (3 descendants)
Task #1504118609: depth 5, type 4, seed 1504118609, output 859387953 (0 descendants)
Task #1506632389: depth 5, type 5, seed 1506632389, output 1802628771 (0 descendants)
Task #1507120169: depth 5, type 2, seed 1507120169, output 552458075 (0 descendants)
Task #1514316292: depth 5, type 5, seed 1514316292, output 2361833387 (0 descendants)
Task #1515945422: depth 5, type 2, seed 1515945422, output 2048926117 (0 descendants)
Task #1516187819: depth 5, type 1, seed 1516187819, output 303938 (0 descendants)
Task #1516693194: depth 5, type 4, seed 1516693194, output 808662578 (0 descendants)
Task #1517016989: depth 5, type 3, seed 1517016989, output 12188 (0 descendants)
Task #1520282766: depth 5, type 3, seed 1520282766, output 21201 (0 descendants)
Task #1520455156: depth 5, type 2, seed 1520455156, output 1199594350 (0 descendants)
Task #1520456672: depth 5, type 2, seed 1520456672, output 1858078898 (0 descendants)
Task #1522805491: depth 5, type 1, seed 1522805491, output 65413 (0 descendants)
Task #1529894832: depth 4, type 5, seed 1529894832, output 3010591276 (4 descendants)
Task #1530319289: depth 5, type 2, seed 1530319289, output 3401667283 (0 descendants)
Task #1530763446: depth 5, type 5, seed 1530763446, output 2780663711 (0 descendants)
Task #1537197177: depth 5, type 5, seed 1537197177, output 112353103 (0 descendants)
Task #1537960999: depth 4, type 1, seed 1537960999, output 897425 (4 descendants)
Task #1541427912: depth 5, type 2, seed 1541427912, output 127735193 (0 descendants)
Task #1543284205: depth 5, type 4, seed 1543284205, output 1647403829 (0 descendants)
Task #1546575276: depth 5, type 5, seed 1546575276, output 1719761796 (0 descendants)
Task #1553692593: depth 5, type 5, seed 1553692593, output 873187524 (0 descendants)
Task #155384901: depth 4, type 5, seed 155384901, output 1658783178 (3 descendants)
Task #15573079: depth 5, type 3, seed 15573079, output 19602 (0 descendants)
Task #1560350250: depth 5, type 1, seed 1560350250, output 228634 (0 descendants)
Task #1563545232: depth 4, type 4, seed 1563545232, output 1714434610 (5 descendants)
Task #1563701482: depth 5, type 4, seed 1563701482, output 1684431921 (0 descendants)
Task #1563729514: depth 5, type 3, seed 1563729514, output 12991 (0 descendants)
Task #1566705563: depth 5, type 2, seed 1566705563, output 1195516047 (0 descendants)
Task #1567280329: depth 4, type 4, seed 1567280329, output 1667457377 (3 descendants)
Task #1573174972: depth 5, type 3, seed 1573174972, output 15456 (0 descendants)
Task #157636268: depth 5, type 3, seed 157636268, output 21447 (0 descendants)
Task #1576875274: depth 4, type 5, seed 1576875274, output 1251310128 (4 descendants)
Task #1577782934: depth 5, type 1, seed 1577782934, output 735180 (0 descendants)
Task #1578946323: depth 5, type 5, seed 1578946323, output 780626659 (0 descendants)
Task #1580130733: depth 5, type 2, seed 1580130733, output 4123407018 (0 descendants)
