Task #1003913882: depth 12, type 2, seed 1003913882, output 1694948583 (0 descendants)
Task #1004550036: depth 12, type 3, seed 1004550036, output 23521 (0 descendants)
Task #1005392110: depth 10, type 4, seed 1005392110, output 962670643 (1 descendants)
Task #1008923213: depth 9, type 2, seed 1008923213, output 1183736479 (1 descendants)
Task #1018310058: depth 12, type 2, seed 1018310058, output 1752958770 (0 descendants)
Task #1019440301: depth 10, type 5, seed 1019440301, output 2444501329 (0 descendants)
Task #102338720: depth 12, type 4, seed 102338720, output 1664312418 (0 descendants)
Task #1023392664: depth 10, type 4, seed 1023392664, output 1714500145 (3 descendants)
Task #1025875259: depth 10, type 1, seed 1025875259, output 252522 (2 descendants)
Task #1026087923: depth 11, type 3, seed 1026087923, output 10930 (1 descendants)
Task #1027148001: depth 4, type 2, seed 1027148001, output 1943403021 (1 descendants)
Task #1027639850: depth 12, type 2, seed 1027639850, output 1916625460 (0 descendants)
Task #1031257862: depth 9, type 4, seed 1031257862, output 1701077348 (1 descendants)
Task #1032421743: depth 11, type 4, seed 1032421743, output 929116771 (0 descendants)
Task #1038969876: depth 8, type 2, seed 1038969876, output 763851201 (2 descendants)
Task #1041537110: depth 11, type 5, seed 1041537110, output 820094946 (2 descendants)
Task #1044446202: depth 12, type 5, seed 1044446202, output 2281648364 (0 descendants)
Task #1044943857: depth 12, type 1, seed 1044943857, output 621950 (0 descendants)
Task #1047234720: depth 10, type 5, seed 1047234720, output 3553401821 (0 descendants)
Task #1049986633: depth 12, type 2, seed 1049986633, output 271473756 (0 descendants)
Task #1056233310: depth 12, type 4, seed 1056233310, output 1697932389 (0 descendants)
Task #1059046871: depth 11, type 4, seed 1059046871, output 892690993 (0 descendants)
Task #1065655588: depth 12, type 2, seed 1065655588, output 1590911050 (0 descendants)
Task #1066142705: depth 10, type 5, seed 1066142705, output 1838100820 (0 descendants)
Task #1067589372: depth 10, type 4, seed 1067589372, output 1698128737 (1 descendants)
Task #106939295: depth 11, type 1, seed 106939295, output 966439 (2 descendants)
Task #1072862178: depth 10, type 1, seed 1072862178, output 227660 (0 descendants)
Task #1072975543: depth 10, type 1, seed 1072975543, output 1011796 (1 descendants)
Task #1075267255: depth 10, type 5, seed 1075267255, output 1601974679 (2 descendants)
Task #1080938483: depth 12, type 4, seed 1080938483, output 1715024182 (0 descendants)
Task #1082377497: depth 8, type 1, seed 1082377497, output 551169 (3 descendants)
Task #1085705171: depth 5, type 3, seed 1085705171, output 11005 (1 descendants)
Task #108657394: depth 7, type 2, seed 108657394, output 575967511 (2 descendants)
Task #1087172840: depth 10, type 5, seed 1087172840, output 2968711232 (0 descendants)
Task #1091536852: depth 6, type 2, seed 1091536852, output 549117573 (2 descendants)
Task #1093240886: depth 11, type 3, seed 1093240886, output 24199 (1 descendants)
Task #1098373024: depth 12, type 4, seed 1098373024, output 875980082 (0 descendants)
Task #1100388032: depth 11, type 1, seed 1100388032, output 634590 (2 descendants)
Task #1106346787: depth 12, type 1, seed 1106346787, output 509120 (0 descendants)
Task #1107142188: depth 12, type 2, seed 1107142188, output 2643309696 (0 descendants)
Task #1108768053: depth 11, type 3, seed 1108768053, output 13442 (1 descendants)
Task #1110977982: depth 12, type 1, seed 1110977982, output 217830 (0 descendants)
Task #1111325736: depth 11, type 1, seed 1111325736, output 106954 (3 descendants)
Task #1113180617: depth 12, type 1, seed 1113180617, output 639329 (0 descendants)
Task #1113858484: depth 11, type 4, seed 1113858484, output 1698062896 (4 descendants)
Task #1114223301: depth 11, type 4, seed 1114223301, output 912537956 (1 descendants)
Task #1116891731: depth 12, type 3, seed 1116891731, output 30470 (0 descendants)
Task #1117260316: depth 11, type 3, seed 1117260316, output 14522 (1 descendants)
Task #1118329669: depth 12, type 1, seed 1118329669, output 356436 (0 descendants)
Task #1123318623: depth 11, type 1, seed 1123318623, output 948617 (3 descendants)
Task #1123697762: depth 11, type 4, seed 1123697762, output 842293560 (0 descendants)
Task #112430167: depth 12, type 4, seed 112430167, output 1664432185 (0 descendants)
Task #1124675278: depth 10, type 4, seed 1124675278, output 845505842 (2 descendants)
Task #1125000586: depth 10, type 5, seed 1125000586, output 4209622909 (2 descendants)
Task #1127252901: depth 12, type 2, seed 1127252901, output 1612630959 (0 descendants)
Task #1132667962: depth 11, type 5, seed 1132667962, output 510887614 (1 descendants)
Task #1137074969: depth 8, type 2, seed 1137074969, output 3984932774 (4 descendants)
Task #1141519912: depth 12, type 5, seed 1141519912, output 4294450039 (0 descendants)
Task #1141956194: depth 12, type 4, seed 1141956194, output 959604277 (0 descendants)
Task #1142630714: depth 12, type 4, seed 1142630714, output 1664246325 (0 descendants)
Task #114506759: depth 10, type 3, seed 114506759, output 16915 (1 descendants)
Task #1145086563: depth 9, type 5, seed 1145086563, output 693975273 (1 descendants)
Task #1151087937: depth 12, type 3, seed 1151087937, output 9604 (0 descendants)
Task #1160358220: depth 12, type 5, seed 1160358220, output 1242441473 (0 descendants)
Task #1162211069: depth 12, type 2, seed 1162211069, output 3185037478 (0 descendants)
Task #1164385583: depth 11, type 3, seed 1164385583, output 14896 (2 descendants)
Task #1165640834: depth 12, type 4, seed 1165640834, output 845243233 (0 descendants)
Task #1165985735: depth 11, type 1, seed 1165985735, output 459118 (0 descendants)
Task #1169136540: depth 12, type 1, seed 1169136540, output 833301 (0 descendants)
Task #1172392796: depth 9, type 3, seed 1172392796, output 16469 (2 descendants)
Task #117316715: depth 10, type 1, seed 117316715, output 550837 (2 descendants)
Task #1173286333: depth 12, type 2, seed 1173286333, output 2747257392 (0 descendants)
Task #1173767513: depth 10, type 4, seed 1173767513, output 909534820 (2 descendants)
Task #1173930883: depth 10, type 4, seed 1173930883, output 828531765 (4 descendants)
Task #1186194075: depth 12, type 3, seed 1186194075, output 18712 (0 descendants)
Task #118622126: depth 12, type 4, seed 118622126, output 859333985 (0 descendants)
Task #1187942783: depth 10, type 1, seed 1187942783, output 885067 (1 descendants)
Task #1193368036: depth 11, type 3, seed 1193368036, output 18147 (3 descendants)
Task #1194503819: depth 11, type 1, seed 1194503819, output 991878 (3 descendants)
Task #1195139435: depth 7, type 5, seed 1195139435, output 1419627602 (2 descendants)
Task #1195285559: depth 11, type 1, seed 1195285559, output 835766 (0 descendants)
Task #1198737999: depth 11, type 4, seed 1198737999, output 1634022242 (1 descendants)
Task #119883704: depth 12, type 4, seed 119883704, output 1681404515 (0 descendants)
Task #1202675979: depth 12, type 3, seed 1202675979, output 12835 (0 descendants)
Task #1205747522: depth 12, type 4, seed 1205747522, output 895824697 (0 descendants)
Task #1214087142: depth 11, type 2, seed 1214087142, output 1883479376 (1 descendants)
Task #1218240352: depth 12, type 2, seed 1218240352, output 2820303297 (0 descendants)
Task #1219571763: depth 12, type 3, seed 1219571763, output 14698 (0 descendants)
Task #1221125537: depth 5, type 5, seed 1221125537, output 1571180723 (1 descendants)
Task #1226391728: depth 11, type 3, seed 1226391728, output 22888 (1 descendants)
Task #1233509784: depth 10, type 1, seed 1233509784, output 663067 (3 descendants)
Task #1238327800: depth 12, type 2, seed 1238327800, output 2112132698 (0 descendants)
Task #1238490495: depth 12, type 1, seed 1238490495, output 1064218 (0 descendants)
Task #123861484: depth 9, type 1, seed 123861484, output 32637 (4 descendants)
Task #1241822808: depth 12, type 3, seed 1241822808, output 16746 (0 descendants)
Task #124584321: depth 12, type 2, seed 124584321, output 1978780235 (0 descendants)
Task #1247575887: depth 12, type 3, seed 1247575887, output 11892 (0 descendants)
Task #1248046735: depth 8, type 3, seed 1248046735, output 11486 (1 descendants)
Task #1248254071: depth 12, type 3, seed 1248254071, output 15312 (0 descendants)
Task #1248369433: depth 11, type 5, seed 1248369433, output 140651574 (4 descendants)
Task #1249851307: depth 11, type 5, seed 1249851307, output 2386037480 (1 descendants)
Task #1251439253: depth 12, type 4, seed 1251439253, output 828781670 (0 descendants)
Task #125172826: depth 8, type 3, seed 125172826, output 19206 (3 descendants)
Task #1253518649: depth 12, type 2, seed 1253518649, output 3675881230 (0 descendants)
Task #1257571265: depth 6, type 4, seed 1257571265, output 926508387 (1 descendants)
Task #1258056967: depth 11, type 4, seed 1258056967, output 1630626149 (2 descendants)
Task #1260105333: depth 11, type 3, seed 1260105333, output 16657 (1 descendants)
Task #1260750767: depth 12, type 5, seed 1260750767, output 3269296044 (0 descendants)
Task #1264036041: depth 10, type 1, seed 1264036041, output 68557 (2 descendants)
Task #1264038745: depth 11, type 3, seed 1264038745, output 8376 (2 descendants)
Task #1264548905: depth 11, type 3, seed 1264548905, output 16732 (2 descendants)
Task #1267583795: depth 12, type 4, seed 1267583795, output 879125857 (0 descendants)
Task #1269774046: depth 12, type 3, seed 1269774046, output 21152 (0 descendants)
Task #1274587875: depth 11, type 3, seed 1274587875, output 18745 (2 descendants)
Task #1276156537: depth 9, type 3, seed 1276156537, output 25155 (4 descendants)
Task #127755455: depth 12, type 1, seed 127755455, output 141906 (0 descendants)
Task #1278179153: depth 12, type 2, seed 1278179153, output 4051700970 (0 descendants)
Task #1278984268: depth 10, type 1, seed 1278984268, output 213689 (0 descendants)
Task #128141029: depth 8, type 3, seed 128141029, output 15692 (1 descendants)
Task #1282036131: depth 11, type 4, seed 1282036131, output 926429751 (3 descendants)
Task #1282256666: depth 11, type 5, seed 1282256666, output 3400848080 (1 descendants)
Task #1284453040: depth 12, type 5, seed 1284453040, output 1386994799 (0 descendants)
Task #1285540519: depth 12, type 5, seed 1285540519, output 3037909853 (0 descendants)
Task #1286934688: depth 12, type 3, seed 1286934688, output 13552 (0 descendants)
